Lp,Periods,Correlation,Methods
175,6,0.8880167451596023,AVG TOPSIS/AVG VIKOR
176,7,0.7779740101168673,DARIA-TOPSIS/DARIA-VIKOR
177,7,0.11060962846677136,DARIA-TOPSIS/AVG TOPSIS
178,7,0.18613727542298975,DARIA-VIKOR/AVG VIKOR
179,7,0.9595107273678702,AVG TOPSIS/AVG VIKOR
180,8,0.8906985871271585,DARIA-TOPSIS/DARIA-VIKOR
181,8,0.38568376068376065,DARIA-TOPSIS/AVG TOPSIS
182,8,0.2814843886272458,DARIA-VIKOR/AVG VIKOR
183,8,0.9551936159079016,AVG TOPSIS/AVG VIKOR
184,9,0.852760334903192,DARIA-TOPSIS/DARIA-VIKOR
185,9,0.46151665794522934,DARIA-TOPSIS/AVG TOPSIS
186,9,0.31353567067852783,DARIA-VIKOR/AVG VIKOR
187,9,0.8816718995290423,AVG TOPSIS/AVG VIKOR
188,10,0.8543083900226758,DARIA-TOPSIS/DARIA-VIKOR
189,10,0.1423556602128031,DARIA-TOPSIS/AVG TOPSIS
190,10,0.1527995813710099,DARIA-VIKOR/AVG VIKOR
191,10,0.9638060352346066,AVG TOPSIS/AVG VIKOR
192,5,0.7821166928309785,DARIA-TOPSIS/DARIA-VIKOR
193,5,0.2135661957090529,DARIA-TOPSIS/AVG TOPSIS
194,5,0.12388801674515959,DARIA-VIKOR/AVG VIKOR
195,5,0.9208529565672423,AVG TOPSIS/AVG VIKOR
196,6,0.7511119832548404,DARIA-TOPSIS/DARIA-VIKOR
197,6,0.4480638409209837,DARIA-TOPSIS/AVG TOPSIS
198,6,0.5290205825920111,DARIA-VIKOR/AVG VIKOR
199,6,0.9766701552415838,AVG TOPSIS/AVG VIKOR
200,7,0.8399616256759114,DARIA-TOPSIS/DARIA-VIKOR
201,7,-0.13354700854700852,DARIA-TOPSIS/AVG TOPSIS
202,7,0.0677219605791034,DARIA-VIKOR/AVG VIKOR
203,7,0.9453383917669632,AVG TOPSIS/AVG VIKOR
204,8,0.762842316413745,DARIA-TOPSIS/DARIA-VIKOR
205,8,-0.16474795046223623,DARIA-TOPSIS/AVG TOPSIS
206,8,0.09362462933891502,DARIA-VIKOR/AVG VIKOR
207,8,0.9232513518227804,AVG TOPSIS/AVG VIKOR
208,9,0.9227934763649049,DARIA-TOPSIS/DARIA-VIKOR
209,9,-0.31896476539333674,DARIA-TOPSIS/AVG TOPSIS
210,9,-0.3322867608581894,DARIA-VIKOR/AVG VIKOR
211,9,0.8081719867434153,AVG TOPSIS/AVG VIKOR
212,10,0.7426739926739927,DARIA-TOPSIS/DARIA-VIKOR
213,10,0.15031397174254313,DARIA-TOPSIS/AVG TOPSIS
214,10,0.16156462585034015,DARIA-VIKOR/AVG VIKOR
215,10,0.9477803942089656,AVG TOPSIS/AVG VIKOR
216,5,0.9337606837606838,DARIA-TOPSIS/DARIA-VIKOR
217,5,-0.03512558869701721,DARIA-TOPSIS/AVG TOPSIS
218,5,-0.004360718646432948,DARIA-VIKOR/AVG VIKOR
219,5,0.8344671201814059,AVG TOPSIS/AVG VIKOR
220,6,0.8439298796441653,DARIA-TOPSIS/DARIA-VIKOR
221,6,0.3841139019710448,DARIA-TOPSIS/AVG TOPSIS
222,6,0.336603872318158,DARIA-VIKOR/AVG VIKOR
223,6,0.842687074829932,AVG TOPSIS/AVG VIKOR
224,7,0.9488051630908774,DARIA-TOPSIS/DARIA-VIKOR
225,7,0.4328013256584685,DARIA-TOPSIS/AVG TOPSIS
226,7,0.30444357230071517,DARIA-VIKOR/AVG VIKOR
227,7,0.9079888365602651,AVG TOPSIS/AVG VIKOR
228,8,0.8465245072387929,DARIA-TOPSIS/DARIA-VIKOR
229,8,0.32018576661433806,DARIA-TOPSIS/AVG TOPSIS
230,8,0.19132653061224492,DARIA-VIKOR/AVG VIKOR
231,8,0.8986132914704343,AVG TOPSIS/AVG VIKOR
232,9,0.8382609454038026,DARIA-TOPSIS/DARIA-VIKOR
