Lp,Alternatives,Correlation,Methods
247,30,0.9287523771932972,AVG TOPSIS/AVG VIKOR
248,50,0.7741816726690676,DARIA-TOPSIS/DARIA-VIKOR
249,50,-0.19097992138031694,DARIA-TOPSIS/AVG TOPSIS
250,50,0.024115999340912797,DARIA-VIKOR/AVG VIKOR
251,50,0.9299107878445496,AVG TOPSIS/AVG VIKOR
252,100,0.7935650990841658,DARIA-TOPSIS/DARIA-VIKOR
253,100,0.20437378391304473,DARIA-TOPSIS/AVG TOPSIS
254,100,0.22558263747166796,DARIA-VIKOR/AVG VIKOR
255,100,0.9443833492260117,AVG TOPSIS/AVG VIKOR
256,200,0.823315732147035,DARIA-TOPSIS/DARIA-VIKOR
257,200,0.28646345263109185,DARIA-TOPSIS/AVG TOPSIS
258,200,0.21753273682588337,DARIA-VIKOR/AVG VIKOR
259,200,0.9099440918858792,AVG TOPSIS/AVG VIKOR
260,10,0.7972451790633609,DARIA-TOPSIS/DARIA-VIKOR
261,10,0.35647382920110193,DARIA-TOPSIS/AVG TOPSIS
262,10,0.40165289256198344,DARIA-VIKOR/AVG VIKOR
263,10,0.9305785123966942,AVG TOPSIS/AVG VIKOR
264,30,0.8210054182066095,DARIA-TOPSIS/DARIA-VIKOR
265,30,0.3584699845706699,DARIA-TOPSIS/AVG TOPSIS
266,30,0.5497793246976928,DARIA-VIKOR/AVG VIKOR
267,30,0.9214180630808425,AVG TOPSIS/AVG VIKOR
268,50,0.8738714309253113,DARIA-TOPSIS/DARIA-VIKOR
269,50,0.2571428571428571,DARIA-TOPSIS/AVG TOPSIS
270,50,0.3081166584280771,DARIA-VIKOR/AVG VIKOR
271,50,0.8677588682531836,AVG TOPSIS/AVG VIKOR
272,100,0.8589794821066266,DARIA-TOPSIS/DARIA-VIKOR
273,100,0.3351484851455443,DARIA-TOPSIS/AVG TOPSIS
274,100,0.3408736517216078,DARIA-VIKOR/AVG VIKOR
275,100,0.8919461847174817,AVG TOPSIS/AVG VIKOR
276,200,0.8678805776114552,DARIA-TOPSIS/DARIA-VIKOR
277,200,0.2072569575433416,DARIA-TOPSIS/AVG TOPSIS
278,200,0.2414393121022056,DARIA-VIKOR/AVG VIKOR
279,200,0.922361670982073,AVG TOPSIS/AVG VIKOR
280,10,0.8479338842975207,DARIA-TOPSIS/DARIA-VIKOR
281,10,-0.14159779614325063,DARIA-TOPSIS/AVG TOPSIS
282,10,0.2705234159779615,DARIA-VIKOR/AVG VIKOR
283,10,0.9338842975206612,AVG TOPSIS/AVG VIKOR
284,30,0.6385805016326385,DARIA-TOPSIS/DARIA-VIKOR
285,30,0.5499802648103628,DARIA-TOPSIS/AVG TOPSIS
286,30,0.42116329972370736,DARIA-VIKOR/AVG VIKOR
287,30,0.8894255265707417,AVG TOPSIS/AVG VIKOR
288,50,0.8376028058282137,DARIA-TOPSIS/DARIA-VIKOR
289,50,0.10313113480686387,DARIA-TOPSIS/AVG TOPSIS
290,50,0.27328296024292065,DARIA-VIKOR/AVG VIKOR
291,50,0.9291048183979475,AVG TOPSIS/AVG VIKOR
292,100,0.8440366808958124,DARIA-TOPSIS/DARIA-VIKOR
293,100,0.261904091399239,DARIA-TOPSIS/AVG TOPSIS
294,100,0.09934878636378486,DARIA-VIKOR/AVG VIKOR
295,100,0.882233649107485,AVG TOPSIS/AVG VIKOR
296,200,0.8374836236577556,DARIA-TOPSIS/DARIA-VIKOR
297,200,0.1297238998139133,DARIA-TOPSIS/AVG TOPSIS
298,200,0.09012965622648028,DARIA-VIKOR/AVG VIKOR
299,200,0.8462110582615312,AVG TOPSIS/AVG VIKOR
300,10,0.9393939393939394,DARIA-TOPSIS/DARIA-VIKOR
301,10,0.22975206611570242,DARIA-TOPSIS/AVG TOPSIS
302,10,0.48319559228650133,DARIA-VIKOR/AVG VIKOR
303,10,0.8137741046831956,AVG TOPSIS/AVG VIKOR
304,30,0.6748358391043812,DARIA-TOPSIS/DARIA-VIKOR
305,30,0.35338907029315725,DARIA-TOPSIS/AVG TOPSIS
306,30,0.436018515196096,DARIA-VIKOR/AVG VIKOR
307,30,0.8801248699271592,AVG TOPSIS/AVG VIKOR
308,50,0.7873935456535556,DARIA-TOPSIS/DARIA-VIKOR
309,50,0.4348515876939011,DARIA-TOPSIS/AVG TOPSIS
310,50,0.18619683167384604,DARIA-VIKOR/AVG VIKOR
311,50,0.8524944095285173,AVG TOPSIS/AVG VIKOR
312,100,0.8539297098026635,DARIA-TOPSIS/DARIA-VIKOR
313,100,0.04392451126300745,DARIA-TOPSIS/AVG TOPSIS
314,100,-0.03590366957487823,DARIA-VIKOR/AVG VIKOR
