Lp,Criteria,Correlation,Methods
206,16,-0.009397348683062967,DARIA-VIKOR/AVG VIKOR
207,16,0.8417713239141811,AVG TOPSIS/AVG VIKOR
208,24,0.7821166928309785,DARIA-TOPSIS/DARIA-VIKOR
209,24,0.02598988313274031,DARIA-TOPSIS/AVG TOPSIS
210,24,0.04445752660038371,DARIA-VIKOR/AVG VIKOR
211,24,0.9521847200418629,AVG TOPSIS/AVG VIKOR
212,32,0.7773417059131345,DARIA-TOPSIS/DARIA-VIKOR
213,32,0.10376330019187163,DARIA-TOPSIS/AVG TOPSIS
214,32,0.34364643293214725,DARIA-VIKOR/AVG VIKOR
215,32,0.7813099598813884,AVG TOPSIS/AVG VIKOR
216,6,0.9025597418454562,DARIA-TOPSIS/DARIA-VIKOR
217,6,0.29892726321297747,DARIA-TOPSIS/AVG TOPSIS
218,6,0.11287720216291641,DARIA-VIKOR/AVG VIKOR
219,6,0.9057430664573521,AVG TOPSIS/AVG VIKOR
220,8,0.7888103959532531,DARIA-TOPSIS/DARIA-VIKOR
221,8,-0.2096633525204954,DARIA-TOPSIS/AVG TOPSIS
222,8,-0.06277254491540196,DARIA-VIKOR/AVG VIKOR
223,8,0.7900313971742543,AVG TOPSIS/AVG VIKOR
224,10,0.8872100122100122,DARIA-TOPSIS/DARIA-VIKOR
225,10,0.4589874411302983,DARIA-TOPSIS/AVG TOPSIS
226,10,0.26419413919413914,DARIA-VIKOR/AVG VIKOR
227,10,0.8876024768881912,AVG TOPSIS/AVG VIKOR
228,16,0.9346110238967382,DARIA-TOPSIS/DARIA-VIKOR
229,16,0.4011643118785976,DARIA-TOPSIS/AVG TOPSIS
230,16,0.4217687074829932,DARIA-VIKOR/AVG VIKOR
231,16,0.9198063840920984,AVG TOPSIS/AVG VIKOR
232,24,0.8103523460666318,DARIA-TOPSIS/DARIA-VIKOR
233,24,-0.24042822257107965,DARIA-TOPSIS/AVG TOPSIS
234,24,-0.19276556776556775,DARIA-VIKOR/AVG VIKOR
235,24,0.8289290075004361,AVG TOPSIS/AVG VIKOR
236,32,0.6861154718297575,DARIA-TOPSIS/DARIA-VIKOR
237,32,0.25307430664573527,DARIA-TOPSIS/AVG TOPSIS
238,32,-0.30099860457003325,DARIA-VIKOR/AVG VIKOR
239,32,0.8623539159253445,AVG TOPSIS/AVG VIKOR
240,6,0.9276992848421419,DARIA-TOPSIS/DARIA-VIKOR
241,6,0.4612768184196756,DARIA-TOPSIS/AVG TOPSIS
242,6,0.4742063492063492,DARIA-VIKOR/AVG VIKOR
243,6,0.940803244374673,AVG TOPSIS/AVG VIKOR
